recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc,image
huaguo,花果山,huaguo,huaguo,花果山,人间,地点,,,
huaguo_huigui,花果山水帘洞,huaguo,huaguo,花果山,人间,地点,美猴王洞府,孙悟空被逐后回归之地,
huaguo_huigui_1,七十二洞妖王,huaguo_huigui,huaguo,花果山,花果山,妖王,七十二洞妖王,西游记中的妖王，七十二洞妖王，曾在取经路上阻拦唐僧师徒。,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E4%B8%83%E5%8D%81%E4%BA%8C%E6%B4%9E%E5%A6%96%E7%8E%8B.png
huaguo_huigui_4,四只老猴,huaguo_huigui,huaguo,花果山,花果山,妖猴,两个赤尻马猴、两个通背猿猴,西游记中的角色，两个赤尻马猴、两个通背猿猴。,
huaguo_huigui_7,牛魔王,huaguo_huigui,huaguo,花果山,妖界,妖王,平天大圣,西游记中的妖王，平天大圣，曾在取经路上阻拦唐僧师徒。,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E7%89%9B%E9%AD%94%E7%8E%8B.png
huaguo_huigui_8,犭禺狨王,huaguo_huigui,huaguo,花果山,妖界,妖王,驱神大圣,西游记中的妖王，驱神大圣，曾在取经路上阻拦唐僧师徒。,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E7%8A%AD%E7%A6%BA%E7%8B%A8%E7%8E%8B.png
huaguo_huigui_9,独角鬼王,huaguo_huigui,huaguo,花果山,花果山,妖王,独角鬼王,西游记中的妖王，独角鬼王，曾在取经路上阻拦唐僧师徒。,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E7%8B%AC%E8%A7%92%E9%AC%BC%E7%8E%8B.png
huaguo_huigui_10,狮驼王,huaguo_huigui,huaguo,花果山,妖界,妖王,移山大圣,西游记中的妖王，移山大圣，曾在取经路上阻拦唐僧师徒。,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E7%8B%AE%E9%A9%BC%E7%8E%8B.png
huaguo_huigui_11,猎户,huaguo_huigui,huaguo,花果山,人间,人间·猎户,捕猴猎人,被悟空吹死报仇,
huaguo_huigui_12,猕猴王,huaguo_huigui,huaguo,花果山,妖界,妖王,通风大圣,西游记中的妖王，通风大圣，曾在取经路上阻拦唐僧师徒。,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E7%8C%95%E7%8C%B4%E7%8E%8B.png
huaguo_huigui_14,群猴,huaguo_huigui,huaguo,花果山,花果山,妖猴,猴子猴孙,西游记中的角色，猴子猴孙。,
huaguo_huigui_15,群猴/众猴,huaguo_huigui,huaguo,花果山,花果山,妖猴,猴子猴孙,仅剩千把只受苦,
huaguo_huigui_16,老猴,huaguo_huigui,huaguo,花果山,花果山,妖猴,老猴子,西游记中的角色，老猴子。,
huaguo_huigui_17,蛟魔王,huaguo_huigui,huaguo,花果山,妖界,妖王,覆海大圣,西游记中的妖王，覆海大圣，曾在取经路上阻拦唐僧师徒。,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E8%9B%9F%E9%AD%94%E7%8E%8B.png
huaguo_huigui_18,鹏魔王,huaguo_huigui,huaguo,花果山,妖界,妖王,混天大圣,西游记中的妖王，混天大圣，曾在取经路上阻拦唐僧师徒。,https://cdn.jsdelivr.net/gh/a493832816/xiyouji@dev/assets/characters/%E9%B9%8F%E9%AD%94%E7%8E%8B.png
huaguo,花果山,huaguo,huaguo,花果山,人间,地点,美猴王诞生地,十洲祖脉，水帘洞洞天,
