recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc,image
shuijing,水晶宫,shuijing,shuijing,水晶宫,龙宫,地点,,,
shuijing,水晶宫,shuijing,shuijing,水晶宫,龙宫,地点,东海龙宫,东海龙王居所,
shuijing_1,东海龙王敖广,shuijing,shuijing,水晶宫,龙宫,龙族·海主,东海之主,四海龙王之首,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/东海龙王敖广.png
shuijing_2,北海龙王敖顺,shuijing,shuijing,水晶宫,龙宫,龙族·海主,北海之主,四海龙王之一,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/北海龙王敖顺.png
shuijing_3,南海龙王敖钦,shuijing,shuijing,水晶宫,龙宫,龙族·海主,南海之主,四海龙王之一,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/南海龙王敖钦.png
shuijing_5,西海龙王敖闰,shuijing,shuijing,水晶宫,龙宫,龙族·海主,西海之主,小白龙之父,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/西海龙王敖闰.png
beihai,北海,shuijing,shuijing,水晶宫,其他,地点,,,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/北海.png
donghai,东海龙宫,shuijing,shuijing,水晶宫,龙宫,地点,,东海龙王敖广居所,
donghai_5,巡海夜叉,donghai,shuijing,水晶宫,其他,其他,,西游记中的角色，出现在取经路上。,
donghai_7,鲌太尉,donghai,shuijing,水晶宫,其他,其他,,西游记中的将领，武艺高强。,
donghai_8,鲠提督,donghai,shuijing,水晶宫,其他,其他,,西游记中的角色，出现在取经路上。,
donghai_9,鲤总兵,donghai,shuijing,水晶宫,其他,其他,,西游记中的角色，出现在取经路上。,
donghai_10,鳜都司,donghai,shuijing,水晶宫,其他,其他,,西游记中的角色，出现在取经路上。,
donghai_11,鳝力士,donghai,shuijing,水晶宫,其他,其他,,西游记中的角色，出现在取经路上。,
donghai_12,龙女,donghai,shuijing,水晶宫,其他,其他,,西游记中的角色，出现在取经路上。,
donghai_13,龙婆,donghai,shuijing,水晶宫,其他,其他,,西游记中的角色，出现在取经路上。,
bajiao_1,井龙王,shuijing,shuijing,水晶宫,其他,其他,,西游记中的国王，掌管水晶宫。,
youming_12,泾河龙王,shuijing,shuijing,水晶宫,龙宫,龙族,泾河龙神,被斩后告状,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/泾河龙王.png
