recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc,image
pingdingshan,平顶山莲花洞,pingdingshan,pingdingshan,平顶山莲花洞,妖界,地点,,,
pansi,盘丝岭,pingdingshan,pingdingshan,平顶山莲花洞,妖界,地点,盘丝洞所在,七个蜘蛛精居所,
pansi_1,七蜘蛛精,pansi,pingdingshan,平顶山莲花洞,妖界,妖后,盘丝洞主,肚脐冒丝绳,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E4%B8%83%E8%9C%98%E8%9B%9B%E7%B2%BE.png
pansi_2,三蜘蛛精,pansi,pingdingshan,平顶山莲花洞,妖界,妖后,盘丝洞主,肚脐冒丝绳,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E4%B8%89%E8%9C%98%E8%9B%9B%E7%B2%BE.png
pansi_3,二蜘蛛精,pansi,pingdingshan,平顶山莲花洞,妖界,妖后,盘丝洞主,肚脐冒丝绳,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E4%BA%8C%E8%9C%98%E8%9B%9B%E7%B2%BE.png
pansi_4,五蜘蛛精,pansi,pingdingshan,平顶山莲花洞,妖界,妖后,盘丝洞主,肚脐冒丝绳,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E4%BA%94%E8%9C%98%E8%9B%9B%E7%B2%BE.png
pansi_5,六蜘蛛精,pansi,pingdingshan,平顶山莲花洞,妖界,妖后,盘丝洞主,肚脐冒丝绳,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%85%AD%E8%9C%98%E8%9B%9B%E7%B2%BE.png
pansi_7,四蜘蛛精,pansi,pingdingshan,平顶山莲花洞,妖界,妖后,盘丝洞主,肚脐冒丝绳,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%9B%9B%E8%9C%98%E8%9B%9B%E7%B2%BE.png
pansi_9,大蜘蛛精,pansi,pingdingshan,平顶山莲花洞,妖界,妖后,盘丝洞主,肚脐冒丝绳,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E5%A4%A7%E8%9C%98%E8%9B%9B%E7%B2%BE.png
pansi_11,干儿子们,pansi,pingdingshan,平顶山莲花洞,妖界,小妖,蜘蛛精干儿子,蜂蝶蜻蜓等所化,
pansi_13,濯垢泉,pansi,pingdingshan,平顶山莲花洞,妖界,地点,温泉浴池,七仙姑浴池被霸占,
pansi_15,盘丝洞,pansi,pingdingshan,平顶山莲花洞,妖界,地点,蜘蛛精洞府,丝绳织篷,
pansi_13,抹蜡,pansi,pingdingshan,平顶山莲花洞,其他,其他,,西游记中的角色，出现在取经路上。,
pansi_15,牛蜢,pansi,pingdingshan,平顶山莲花洞,其他,其他,,西游记中的角色，出现在取经路上。,
pansi_17,班毛,pansi,pingdingshan,平顶山莲花洞,其他,其他,,西游记中的角色，出现在取经路上。,
pansi_18,蚂蜂,pansi,pingdingshan,平顶山莲花洞,其他,其他,,西游记中的角色，出现在取经路上。,
pansi_19,蜜蜂,pansi,pingdingshan,平顶山莲花洞,其他,其他,,西游记中的角色，出现在取经路上。,
pansi_20,蜻蜓,pansi,pingdingshan,平顶山莲花洞,其他,其他,,西游记中的角色，出现在取经路上。,
pansi_21,蠦蜂,pansi,pingdingshan,平顶山莲花洞,其他,其他,,西游记中的角色，出现在取经路上。,
pingdingshan,平顶山莲花洞,pingdingshan,pingdingshan,平顶山莲花洞,妖界,地点,金角银角洞府,两个魔头盘踞之地,
pingdingshan_1,九尾狐狸,pingdingshan,pingdingshan,平顶山莲花洞,压龙洞,妖精,妖母,金角银角之母被悟空打死,
pingdingshan_2,伶俐虫,pingdingshan,pingdingshan,平顶山莲花洞,莲花洞,小妖,巡山小妖,被骗换净瓶,
pingdingshan_3,倚海龙,pingdingshan,pingdingshan,平顶山莲花洞,莲花洞,小妖,差遣小妖,被悟空打死,
pingdingshan_6,啄木鸟,pingdingshan,pingdingshan,平顶山莲花洞,人间,孙悟空化身,悟空变化,啄醒睡觉的八戒,
pingdingshan_10,巴山虎,pingdingshan,pingdingshan,平顶山莲花洞,莲花洞,小妖,差遣小妖,被悟空打死,
pingdingshan_14,狐阿七大王,pingdingshan,pingdingshan,平顶山莲花洞,压龙洞,妖王,老舅爷,九尾狐狸之弟被八戒打死,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E7%8B%90%E9%98%BF%E4%B8%83%E5%A4%A7%E7%8E%8B.png
pingdingshan_16,精细鬼,pingdingshan,pingdingshan,平顶山莲花洞,莲花洞,小妖,巡山小妖,被骗换葫芦,
pingdingshan_17,金角大王,pingdingshan,pingdingshan,平顶山莲花洞,平顶山,妖魔,莲花洞魔头之一,有五件宝贝,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E9%87%91%E8%A7%92%E5%A4%A7%E7%8E%8B.png
pingdingshan_18,银角大王,pingdingshan,pingdingshan,平顶山莲花洞,平顶山,妖魔,莲花洞魔头之一,有五件宝贝,https://gitee.com/frank_huli/imagesbed/raw/master/xiyouji/characters/%E9%93%B6%E8%A7%92%E5%A4%A7%E7%8E%8B.png
yalongshan,压龙山压龙洞,pingdingshan,pingdingshan,平顶山莲花洞,其他,地点,,,
